Municipio,SE,Casos,Mediana,Q1,Q3
Linhares,24,17.0,76.0,26.75,147.5
Linhares,25,17.0,53.0,13.75,123.25
Linhares,26,15.0,51.5,20.25,124.0
Linhares,27,26.0,43.0,21.5,116.75
Linhares,28,29.0,40.0,17.75,105.0
Linhares,29,20.0,38.5,20.25,80.75
Linhares,30,21.0,34.0,19.75,79.5
Linhares,31,19.0,35.5,17.0,74.5
Linhares,32,30.0,40.0,10.5,79.25
Linhares,33,7.0,37.0,9.75,84.0
Linhares,34,51.0,27.5,7.0,61.0
Linhares,35,15.0,19.5,7.5,47.0
Linhares,36,4.0,19.0,8.25,42.25
Linhares,37,,21.0,8.75,33.75
Linhares,38,,19.0,9.75,31.75
Linhares,39,,19.0,5.75,28.75
Linhares,40,,23.5,2.75,35.5
Linhares,41,,14.5,1.75,24.75
Linhares,42,,16.5,6.0,35.75
Linhares,43,,28.0,9.75,37.5
Linhares,44,,22.0,8.25,32.25
Linhares,45,,14.0,8.5,37.0
Linhares,46,,20.5,4.5,42.25
Linhares,47,,19.5,3.5,29.5
Linhares,48,,19.0,8.75,45.0
Linhares,49,,19.0,6.75,67.75
Linhares,50,,22.0,8.0,57.5
Linhares,51,,27.5,11.5,58.5
Linhares,52,,40.0,11.75,59.0
Mantenópolis,1,1.0,0.0,0.0,0.5
Mantenópolis,2,0.0,0.0,0.0,0.0
Mantenópolis,3,0.0,0.0,0.0,0.75
Mantenópolis,4,0.0,0.0,0.0,1.75
Mantenópolis,5,2.0,0.0,0.0,2.5
Mantenópolis,6,1.0,1.0,0.0,9.0
Mantenópolis,7,2.0,0.0,0.0,12.5
Mantenópolis,8,2.0,0.0,0.0,10.75
Mantenópolis,9,3.0,1.0,0.0,20.0
Mantenópolis,10,3.0,1.0,0.0,45.25
Mantenópolis,11,4.0,2.0,0.0,39.5
Mantenópolis,12,2.0,2.5,0.0,30.5
Mantenópolis,13,2.0,0.5,0.0,23.5
Mantenópolis,14,3.0,0.5,0.0,16.25
Mantenópolis,15,1.0,1.5,0.0,15.0
Mantenópolis,16,2.0,1.5,0.0,21.5
Mantenópolis,17,1.0,0.5,0.0,19.75
Mantenópolis,18,1.0,1.0,0.0,10.0
Mantenópolis,19,1.0,0.0,0.0,26.25
Mantenópolis,20,0.0,0.0,0.0,13.0
Mantenópolis,21,0.0,0.5,0.0,9.5
Mantenópolis,22,0.0,0.5,0.0,6.0
Mantenópolis,23,1.0,0.0,0.0,3.25
Mantenópolis,24,0.0,1.0,0.0,3.25
Mantenópolis,25,0.0,0.0,0.0,2.5
Mantenópolis,26,0.0,0.0,0.0,0.5
Mantenópolis,27,1.0,0.0,0.0,0.0
Mantenópolis,28,1.0,0.0,0.0,0.75
Mantenópolis,29,0.0,0.0,0.0,0.0
Mantenópolis,30,1.0,0.0,0.0,0.25
Mantenópolis,31,0.0,0.0,0.0,0.0
Mantenópolis,32,3.0,0.0,0.0,0.25
Mantenópolis,33,0.0,0.0,0.0,0.0
Mantenópolis,34,0.0,0.0,0.0,0.25
Mantenópolis,35,0.0,0.0,0.0,0.25
Mantenópolis,36,0.0,0.0,0.0,0.25
Mantenópolis,37,,0.0,0.0,0.0
Mantenópolis,38,,0.0,0.0,0.0
Mantenópolis,39,,0.0,0.0,0.0
Mantenópolis,40,,0.0,0.0,0.0
Mantenópolis,41,,0.0,0.0,0.0
Mantenópolis,42,,0.0,0.0,0.0
Mantenópolis,43,,0.0,0.0,0.0
Mantenópolis,44,,0.0,0.0,0.0
Mantenópolis,45,,0.0,0.0,0.0
Mantenópolis,46,,0.0,0.0,0.0
Mantenópolis,47,,0.0,0.0,0.75
Mantenópolis,48,,0.0,0.0,0.0
Mantenópolis,49,,0.0,0.0,0.25
Mantenópolis,50,,0.0,0.0,0.0
Mantenópolis,51,,0.0,0.0,1.0
Mantenópolis,52,,0.0,0.0,1.5
Marilândia,1,2.0,0.5,0.0,3.25
Marilândia,2,4.0,0.0,0.0,2.0
