MUNICIPIO,SE,CASOS
SAO GABRIEL DA PALHA,2,0
SAO GABRIEL DA PALHA,3,0
SAO GABRIEL DA PALHA,4,0
SAO GABRIEL DA PALHA,5,1
SAO GABRIEL DA PALHA,6,0
SAO GABRIEL DA PALHA,7,0
SAO GABRIEL DA PALHA,8,0
SAO GABRIEL DA PALHA,9,0
SAO GABRIEL DA PALHA,10,0
SAO GABRIEL DA PALHA,11,0
SAO GABRIEL DA PALHA,12,1
SAO GABRIEL DA PALHA,13,0
SAO GABRIEL DA PALHA,14,1
SAO GABRIEL DA PALHA,15,1
SAO GABRIEL DA PALHA,16,0
SAO GABRIEL DA PALHA,17,0
SAO GABRIEL DA PALHA,18,0
SAO GABRIEL DA PALHA,19,0
SAO GABRIEL DA PALHA,20,1
SAO GABRIEL DA PALHA,21,1
SAO GABRIEL DA PALHA,22,0
SAO GABRIEL DA PALHA,23,0
SAO GABRIEL DA PALHA,24,1
SAO GABRIEL DA PALHA,25,0
SAO GABRIEL DA PALHA,26,1
SAO GABRIEL DA PALHA,27,1
SAO GABRIEL DA PALHA,28,1
SAO GABRIEL DA PALHA,29,2
SAO GABRIEL DA PALHA,30,0
SAO GABRIEL DA PALHA,31,1
SAO GABRIEL DA PALHA,32,0
SAO GABRIEL DA PALHA,33,0
SAO GABRIEL DA PALHA,34,0
SAO GABRIEL DA PALHA,35,0
SAO GABRIEL DA PALHA,36,1
SAO GABRIEL DA PALHA,37,0
SAO GABRIEL DA PALHA,38,2
SAO GABRIEL DA PALHA,39,0
SAO GABRIEL DA PALHA,40,0
SAO GABRIEL DA PALHA,41,0
SAO GABRIEL DA PALHA,42,0
SAO GABRIEL DA PALHA,43,0
SAO GABRIEL DA PALHA,44,0
SAO GABRIEL DA PALHA,45,0
SAO GABRIEL DA PALHA,46,0
SAO GABRIEL DA PALHA,47,0
SAO GABRIEL DA PALHA,48,0
SAO GABRIEL DA PALHA,49,0
SAO GABRIEL DA PALHA,50,0
SAO GABRIEL DA PALHA,51,0
SAO GABRIEL DA PALHA,52,0
SAO GABRIEL DA PALHA,53,0
SAO ROQUE DO CANAA,1,0
SAO ROQUE DO CANAA,2,0
SAO ROQUE DO CANAA,3,0
SAO ROQUE DO CANAA,4,0
SAO ROQUE DO CANAA,5,0
SAO ROQUE DO CANAA,6,0
SAO ROQUE DO CANAA,7,0
SAO ROQUE DO CANAA,8,0
SAO ROQUE DO CANAA,9,0
SAO ROQUE DO CANAA,10,0
SAO ROQUE DO CANAA,11,0
SAO ROQUE DO CANAA,12,0
SAO ROQUE DO CANAA,13,0
SAO ROQUE DO CANAA,14,0
SAO ROQUE DO CANAA,15,0
SAO ROQUE DO CANAA,16,0
SAO ROQUE DO CANAA,17,0
SAO ROQUE DO CANAA,18,1
SAO ROQUE DO CANAA,19,0
SAO ROQUE DO CANAA,20,0
SAO ROQUE DO CANAA,21,0
SAO ROQUE DO CANAA,22,0
SAO ROQUE DO CANAA,23,0
SAO ROQUE DO CANAA,24,0
SAO ROQUE DO CANAA,25,0
